Symbol,Company Name,Market Cap,Stock Price
NVDA,NVIDIA Corporation,4.38T,180.25
AAPL,Apple Inc.,3.67T,250.12
GOOGL,Alphabet Inc.,3.66T,302.28
GOOG,Alphabet Inc.,3.65T,301.46
MSFT,Microsoft Corporation,2.94T,395.55
AMZN,"Amazon.com, Inc.",2.23T,207.67
META,"Meta Platforms, Inc.",1.55T,613.71
AVGO,Broadcom Inc.,1.53T,322.16
TSLA,"Tesla, Inc.",1.47T,391.20
BRK.B,Berkshire Hathaway Inc.,1.06T,490.03
WMT,Walmart Inc.,1.01T,126.52
LLY,Eli Lilly and Company,880.03B,985.08
JPM,JPMorgan Chase & Co.,764.45B,283.44
XOM,Exxon Mobil Corporation,650.52B,156.12
V,Visa Inc.,585.41B,307.14
JNJ,Johnson & Johnson,582.04B,241.52
MU,"Micron Technology, Inc.",478.32B,426.13
COST,Costco Wholesale Corporation,447.39B,1008.43
ORCL,Oracle Corporation,446.10B,155.11
MA,Mastercard Incorporated,444.11B,497.99
NFLX,"Netflix, Inc.",402.41B,95.31
CVX,Chevron Corporation,392.73B,196.82
ABBV,AbbVie Inc.,388.43B,219.68
PLTR,Palantir Technologies Inc.,361.02B,150.95
PG,The Procter & Gamble Company,352.03B,150.65
HD,"The Home Depot, Inc.",337.51B,339.03
BAC,Bank of America Corporation,335.29B,46.72
KO,The Coca-Cola Company,332.62B,77.34
CAT,Caterpillar Inc.,322.90B,693.99
AMD,"Advanced Micro Devices, Inc.",315.31B,193.39
GE,GE Aerospace,314.32B,299.69
CSCO,"Cisco Systems, Inc.",309.40B,78.33
MRK,"Merck & Co., Inc.",285.83B,115.61
RTX,RTX Corporation,274.52B,204.52
PM,Philip Morris International Inc.,271.89B,174.66
AMAT,"Applied Materials, Inc.",270.83B,341.53
LRCX,Lam Research Corporation,264.99B,212.20
UNH,UnitedHealth Group Incorporated,256.05B,282.09
MS,Morgan Stanley,245.91B,154.87
TMUS,"T-Mobile US, Inc.",239.53B,217.39
GS,"The Goldman Sachs Group, Inc.",232.12B,782.21
MCD,McDonald's Corporation,231.92B,326.46
IBM,International Business Machines Corporation,231.02B,246.28
LIN,Linde plc,228.88B,493.92
WFC,Wells Fargo & Company,228.65B,74.10
